Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-56.80000E-006,-4.90000E-012,10.42400E-003,0.00000E+000,3.20800E-006,10.42400E-003
1,1,2,-58.40000E-006,800.00000E-015,179.00000E-003,42.00000E-003,-7.68300E-006,179.00000E-003
1,1,3,-53.60000E-006,-1.70000E-012,347.25400E-003,84.00000E-003,-12.63900E-006,347.25400E-003
1,1,4,-56.40000E-006,9.60000E-012,515.50600E-003,126.00000E-003,-14.54600E-006,515.50600E-003
1,1,5,-57.80000E-006,22.90000E-012,706.50100E-003,168.00000E-003,14.93700E-006,706.50100E-003
1,1,6,-53.00000E-006,240.10000E-012,874.73800E-003,210.00000E-003,13.23500E-006,874.73800E-003
1,1,7,-61.50000E-006,10.50000E-012,1.04299E+000,252.00000E-003,6.17300E-006,1.04299E+000
1,1,8,-62.00000E-006,7.00000E-012,1.22251E+000,294.00000E-003,13.55900E-006,1.22251E+000
1,1,9,-59.00000E-006,2.00000E-012,1.39075E+000,336.00000E-003,13.76700E-006,1.39075E+000
1,1,10,-59.40000E-006,1.10000E-012,1.55900E+000,378.00000E-003,9.02800E-006,1.55900E+000
1,1,11,-55.60000E-006,5.30000E-012,1.72817E+000,420.00000E-003,-4.04200E-006,1.72817E+000
1,1,12,-54.50000E-006,2.50000E-012,1.89643E+000,462.00000E-003,-10.18800E-006,1.89643E+000
1,1,13,-58.90000E-006,900.00000E-015,2.06467E+000,504.00000E-003,-15.04800E-006,2.06467E+000
1,1,14,-54.90000E-006,-1.10000E-012,2.23361E+000,546.00000E-003,-10.12000E-006,2.23361E+000
1,1,15,-55.90000E-006,300.00000E-015,2.40185E+000,588.00000E-003,-2.83800E-006,2.40185E+000
1,1,16,-58.30000E-006,600.00000E-015,2.57009E+000,630.00000E-003,6.47900E-006,2.57009E+000
1,1,17,-53.70000E-006,700.00000E-015,2.73836E+000,672.00000E-003,11.87300E-006,2.73836E+000
1,1,18,-55.70000E-006,-1.60000E-012,2.90659E+000,714.00000E-003,14.71800E-006,2.90659E+000
1,1,19,-60.10000E-006,-2.00000E-012,3.07483E+000,756.00000E-003,12.25700E-006,3.07483E+000
1,1,20,-57.90000E-006,-300.00000E-015,3.24310E+000,798.00000E-003,3.98700E-006,3.24310E+000
1,1,21,-62.40000E-006,-1.10000E-012,3.41135E+000,840.00000E-003,-4.52900E-006,3.41135E+000
1,1,22,-60.70000E-006,-2.00000E-012,3.57999E+000,882.00000E-003,-12.23600E-006,3.57999E+000
1,1,23,-52.80000E-006,1.10000E-012,3.74827E+000,924.00000E-003,-14.69800E-006,3.74827E+000
1,1,24,-57.00000E-006,100.00000E-015,3.91652E+000,966.00000E-003,-11.22800E-006,3.91652E+000
1,1,25,-58.50000E-006,-5.20000E-012,4.08475E+000,1.00800E+000,-3.39900E-006,4.08475E+000
1,1,26,-52.90000E-006,-3.60000E-012,4.25314E+000,1.05000E+000,6.48500E-006,4.25314E+000
1,1,27,-57.50000E-006,1.90000E-012,4.42138E+000,1.09200E+000,11.76700E-006,4.42138E+000
1,1,28,-57.50000E-006,6.10000E-012,4.58962E+000,1.13400E+000,14.73800E-006,4.58962E+000
